city,id,year,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,3-6,4-1,4-2,4-3,4-4
内蒙古自治区,NMG,2014,379,79,111,22053,6.22,5.26,5.67,0.85,0.95,107,44,106,23,11,1,470.7,332.1,138.6,527.4
内蒙古自治区,NMG,2013,353,68,85,21984,6.21,5.25,5.24,0.8,0.87,96,43,105,20,10,2,464.5,330,134.5,521.7
内蒙古自治区,NMG,2012,325,62,77,22009,5.95,5.01,4.68,0.69,0.73,80,51,109,20,12,3,455.1,322.7,132.4,512.6
内蒙古自治区,NMG,2011,308,61,68,21905,5.71,4.83,4.25,0.63,0.72,91,36,106,25,12,4,438,313.7,124.3,469.3
内蒙古自治区,NMG,2010,296,61,61,21571,5.62,4.77,3.83,0.6,0.74,87,32,85,23,10,3,433.5,308.9,124.7,460
辽宁省,LIA,2019,740,193,401,32275,12.39,11.17,13.91,1.79,1.99,222,10,75,46,32,13,1552.1,911.1,641,2342.6
辽宁省,LIA,2018,761,186,395,33777,12.04,10.85,13.45,1.66,2,232,8,65,40,39,14,1567.9,945.1,622.8,2400.9
辽宁省,LIA,2017,713,155,378,33540,11.57,10.43,12.74,1.54,2,232,9,69,34,40,13,1575.9,967.5,608.4,701.6
辽宁省,LIA,2016,694,139,339,33931,10.98,9.9,11.91,1.47,1.92,247,8,54,23,33,13,1635.6,1022.7,612.9,740.4
辽宁省,LIA,2015,610,115,282,33105,10.46,9.42,11.1,1.3,1.84,245,6,52,20,34,11,1651.4,1053.7,597.7,744.8
辽宁省,LIA,2014,584,106,262,33297,10.16,9.12,10.58,1.26,1.75,237,9,46,19,36,13,1649.2,1072.5,576.7,738
辽宁省,LIA,2013,555,106,235,33521,10.33,9.23,10.34,1.31,1.73,231,8,49,24,25,14,1624.8,1077.9,546.9,708.5
辽宁省,LIA,2012,537,100,216,34249,10.1,8.99,9.8,1.2,1.64,209,14,47,20,21,16,1587,1062.1,524.8,664.9
辽宁省,LIA,2011,515,98,211,33712,9.77,8.7,9.19,1.24,1.65,184,9,34,15,21,16,1499.4,1005.3,494.1,620.7
辽宁省,LIA,2010,507,98,209,33300,9.69,8.55,8.89,1.24,1.72,156,5,23,10,18,12,1408.7,944.6,464.1,580
吉林省,JIL,2019,422,114,240,20917,7.9,6.82,7.93,1.08,1.53,110,14,61,18,23,2,525.9,333.7,192.3,2022.2
吉林省,JIL,2018,417,108,237,21371,7.71,6.73,7.62,0.99,1.54,115,11,47,16,22,3,576,366.1,209.9,2031.4
吉林省,JIL,2017,360,87,192,19647,7.06,6.18,6.71,0.91,1.4,106,14,43,17,26,2,576,368.3,207.6,804.9
吉林省,JIL,2016,375,84,188,19589,6.97,6.13,6.57,0.88,1.39,104,16,43,22,21,1,576,371.1,204.8,804.9
吉林省,JIL,2015,353,79,170,19409,6.72,5.91,6.07,0.81,1.35,98,18,43,23,20,1,575.9,376.2,199.7,804.7
吉林省,JIL,2014,346,73,154,18856,6.32,5.54,5.74,0.76,1.25,96,19,43,24,19,1,575.6,378.1,197.5,804.4
吉林省,JIL,2013,345,71,148,18968,6.2,5.45,5.27,0.76,1.2,99,18,38,21,21,1,574.9,377.4,197.5,803.7
吉林省,JIL,2012,349,72,144,18804,6.14,5.39,5.1,0.67,1.16,91,17,35,20,23,1,569.5,375.6,194,800.5
吉林省,JIL,2011,343,75,131,18882,5.96,5.26,4.79,0.81,1.18,90,10,34,22,20,2,557.2,369,188.2,793.4
吉林省,JIL,2010,346,76,134,18475,6.21,5.45,4.58,0.68,1.16,71,6,32,16,12,1,550.1,370.3,179.9,788
黑龙江省,HLJ,2019,755,169,201,18478,9.35,7.95,9.76,1.08,1.75,218,56,89,54,41,1,873.6,496.5,377.1,1963.5
黑龙江省,HLJ,2018,729,161,196,18460,8.95,7.64,9.31,1.01,1.72,206,54,86,57,43,4,856.2,498,358.2,2052.3
黑龙江省,HLJ,2017,724,152,196,18398,8.85,7.56,9.04,1,1.73,219,48,87,52,48,4,843.8,493.2,350.6,2048.8
黑龙江省,HLJ,2016,684,138,195,18256,8.44,7.21,8.54,1.02,1.64,217,42,92,47,37,5,879.5,525.5,354,720.3
黑龙江省,HLJ,2015,671,132,195,18386,8.27,7.04,8.1,1,1.65,221,41,86,49,37,5,873.7,543.6,330.1,721.1
黑龙江省,HLJ,2014,672,130,185,18725,8.14,6.89,7.77,0.95,1.66,219,42,89,49,34,5,873.9,549.6,324.3,712.5
黑龙江省,HLJ,2013,671,128,179,18883,8.05,6.82,7.4,0.99,1.63,213,40,94,40,41,4,868.1,556.5,311.6,712.3
黑龙江省,HLJ,2012,684,127,169,19470,7.86,6.68,7.01,0.89,1.48,189,38,94,47,38,4,867.8,558.3,309.6,712.5
黑龙江省,HLJ,2011,635,122,143,20142,7.68,6.54,6.61,0.87,1.53,193,31,94,52,34,9,881,587.4,293.6,697
黑龙江省,HLJ,2010,650,120,135,20461,8.03,6.82,6.28,0.88,1.52,180,25,77,42,42,10,873.7,595.3,278.4,683
上海市,SHH,2019,169,21,122,5021,7.47,7.12,9.29,1.17,1.37,120,1,19,44,89,48,1539.3,1026.9,512.4,349.8
上海市,SHH,2018,171,19,120,4729,7.16,6.78,8.8,1.16,1.33,114,2,18,44,89,48,1523.3,1020.6,502.7,342.8
上海市,SHH,2017,180,19,118,4574,6.79,6.42,8.39,1.15,1.3,109,2,17,44,82,54,1495.1,1005.4,489.7,344.6
上海市,SHH,2016,181,19,113,4470,6.54,6.18,7.94,1.07,1.22,105,2,19,43,84,54,1468.6,991.6,477,338
上海市,SHH,2015,181,18,106,4480,6.3,5.94,7.54,1.02,1.17,104,3,18,42,81,58,1446.4,980.5,465.8,272.9
上海市,SHH,2014,182,18,102,4489,6.12,5.74,7.19,0.99,0.98,102,4,18,43,79,59,1420.8,967.6,453.2,257.7
上海市,SHH,2013,185,18,97,4439,5.79,5.4,6.79,0.89,0.98,98,6,15,42,79,61,1394.1,955.7,438.4,256.4
上海市,SHH,2012,186,17,93,4379,5.58,5.17,6.32,0.84,0.94,108,4,16,42,78,61,1376,954.5,421.5,262.6
上海市,SHH,2011,180,17,91,4289,5.38,4.95,5.89,0.88,0.99,100,5,11,41,83,61,1342.1,937.9,404.1,249.7
上海市,SHH,2010,185,17,85,4261,5.3,4.86,5.59,0.84,0.97,94,3,12,38,81,68,1405.9,1017.1,388.8,235
江苏省,JSU,2019,995,151,509,31821,25.47,21.12,27.98,3.47,3.26,140,9,108,142,109,55,2954,2189.6,764.5,4894.8
