辽宁省,LIA,2012,537,100,216,1062.1,524.8,664.9,10.1,8.99,9.8,290,21,16
辽宁省,LIA,2011,515,98,211,1005.3,494.1,620.7,9.77,8.7,9.19,242,21,16
辽宁省,LIA,2010,507,98,209,944.6,464.1,580,9.69,8.55,8.89,194,18,12
吉林省,JIL,2019,422,114,240,333.7,192.3,2022.2,7.9,6.82,7.93,203,23,2
吉林省,JIL,2018,417,108,237,366.1,209.9,2031.4,7.71,6.73,7.62,189,22,3
吉林省,JIL,2017,360,87,192,368.3,207.6,804.9,7.06,6.18,6.71,180,26,2
吉林省,JIL,2016,375,84,188,371.1,204.8,804.9,6.97,6.13,6.57,185,21,1
吉林省,JIL,2015,353,79,170,376.2,199.7,804.7,6.72,5.91,6.07,182,20,1
吉林省,JIL,2014,346,73,154,378.1,197.5,804.4,6.32,5.54,5.74,182,19,1
吉林省,JIL,2013,345,71,148,377.4,197.5,803.7,6.2,5.45,5.27,176,21,1
吉林省,JIL,2012,349,72,144,375.6,194,800.5,6.14,5.39,5.1,163,23,1
吉林省,JIL,2011,343,75,131,369,188.2,793.4,5.96,5.26,4.79,156,20,2
吉林省,JIL,2010,346,76,134,370.3,179.9,788,6.21,5.45,4.58,125,12,1
黑龙江省,HLJ,2019,755,169,201,496.5,377.1,1963.5,9.35,7.95,9.76,417,41,1
黑龙江省,HLJ,2018,729,161,196,498,358.2,2052.3,8.95,7.64,9.31,403,43,4
黑龙江省,HLJ,2017,724,152,196,493.2,350.6,2048.8,8.85,7.56,9.04,406,48,4
黑龙江省,HLJ,2016,684,138,195,525.5,354,720.3,8.44,7.21,8.54,398,37,5
黑龙江省,HLJ,2015,671,132,195,543.6,330.1,721.1,8.27,7.04,8.1,397,37,5
黑龙江省,HLJ,2014,672,130,185,549.6,324.3,712.5,8.14,6.89,7.77,399,34,5
黑龙江省,HLJ,2013,671,128,179,556.5,311.6,712.3,8.05,6.82,7.4,387,41,4
黑龙江省,HLJ,2012,684,127,169,558.3,309.6,712.5,7.86,6.68,7.01,368,38,4
黑龙江省,HLJ,2011,635,122,143,587.4,293.6,697,7.68,6.54,6.61,370,34,9
黑龙江省,HLJ,2010,650,120,135,595.3,278.4,683,8.03,6.82,6.28,324,42,10
上海市,SHH,2019,169,21,122,1026.9,512.4,349.8,7.47,7.12,9.29,184,89,48
上海市,SHH,2018,171,19,120,1020.6,502.7,342.8,7.16,6.78,8.8,178,89,48
上海市,SHH,2017,180,19,118,1005.4,489.7,344.6,6.79,6.42,8.39,172,82,54
上海市,SHH,2016,181,19,113,991.6,477,338,6.54,6.18,7.94,169,84,54
上海市,SHH,2015,181,18,106,980.5,465.8,272.9,6.3,5.94,7.54,167,81,58
上海市,SHH,2014,182,18,102,967.6,453.2,257.7,6.12,5.74,7.19,167,79,59
上海市,SHH,2013,185,18,97,955.7,438.4,256.4,5.79,5.4,6.79,161,79,61
上海市,SHH,2012,186,17,93,954.5,421.5,262.6,5.58,5.17,6.32,170,78,61
上海市,SHH,2011,180,17,91,937.9,404.1,249.7,5.38,4.95,5.89,157,83,61
上海市,SHH,2010,185,17,85,1017.1,388.8,235,5.3,4.86,5.59,147,81,68
江苏省,JSU,2019,995,151,509,2189.6,764.5,4894.8,25.47,21.12,27.98,399,109,55
江苏省,JSU,2018,1029,138,473,2029.5,723.1,4969.1,23.33,19.39,26.04,398,116,51
江苏省,JSU,2017,1015,121,420,1921.4,679.8,5018,21.71,18.13,23.69,395,116,47
江苏省,JSU,2016,1032,111,403,1849.4,641.2,1493.9,20.46,16.99,22.12,396,118,30
江苏省,JSU,2015,1013,104,364,1818.2,610.8,1585.3,18.92,15.74,20.4,395,118,35
江苏省,JSU,2014,999,102,343,1784.9,577,1435.7,17.86,14.97,18.88,393,115,35
江苏省,JSU,2013,991,97,331,1731.1,543.6,1152.9,16.96,14.36,17.42,383,111,34
江苏省,JSU,2012,964,89,321,1646.5,508.9,1453.4,15.79,13.48,15.52,368,100,29
江苏省,JSU,2011,849,86,308,1541.5,470.9,1488.1,13.47,12.04,13.56,357,99,28
江苏省,JSU,2010,754,86,284,1405.1,443.2,1488,12.89,11.53,12.25,374,98,24
浙江省,ZHJ,2019,577,179,509,1950.1,476.5,3034.9,20.55,18,21.98,419,52,8
浙江省,ZHJ,2018,555,171,473,1830.7,446.4,3091.7,19.08,16.61,20.15,420,49,8
浙江省,ZHJ,2017,529,162,438,1702.9,414.5,3134.2,17.87,15.51,18.77,422,43,6
浙江省,ZHJ,2016,505,152,411,1634.3,383.2,2975.8,16.82,14.5,17.45,421,38,8
浙江省,ZHJ,2015,485,144,366,1639,353.7,2971.4,15.81,13.58,15.99,418,42,7
